Designator,Mid X,Mid Y,Rotation,Layer
CONN1,114.386569,-101.354278,92.5,top
D1,100.652631,-104.957224,7.5,top
D10,157.634462,-90.582685,0.0,top
D11,157.634462,-72.082685,0.0,top
D12,157.634462,-53.582685,0.0,top
D13,176.134462,-92.582685,0.0,top
D14,176.134462,-74.082685,0.0,top
D15,176.134462,-55.582685,0.0,top
D16,162.490785,-111.64179,341.5,top
D17,181.753363,-118.50284,345.0,top
D18,198.750659,-127.378164,345.0,top
D2,98.237896,-86.615494,7.5,top
D3,95.823162,-68.273765,7.5,top
D4,119.002453,-92.447459,2.5,top
D5,118.195494,-73.965066,2.5,top
D6,117.388535,-55.482674,2.5,top
D7,138.634462,-88.582685,0.0,top
D8,138.634462,-70.082685,0.0,top
D9,138.634462,-51.582685,0.0,top
H1,189.420531,-33.71654,0.0,top
H2,86.670531,-109.71654,0.0,top
H3,189.420531,-97.21654,0.0,top
S19,118.170531,-29.97854,0.0,top
SW1,175.170531,-34.21654,0.0,top
